Component,Origin,License,Copyright
@types/stack-utils@npm:1.0.1,https://yarnpkg.com/package/@types/stack-utils,MIT,
@types/tough-cookie@npm:2.3.6,https://yarnpkg.com/package/@types/tough-cookie,MIT,
@types/yargs-parser@npm:13.1.0,https://yarnpkg.com/package/@types/yargs-parser,MIT,
@types/yargs@npm:13.0.3,https://yarnpkg.com/package/@types/yargs,MIT,
@typescript-eslint/experimental-utils@npm:2.15.0,https://yarnpkg.com/package/@typescript-eslint/experimental-utils,MIT,
@typescript-eslint/parser@npm:2.15.0,https://yarnpkg.com/package/@typescript-eslint/parser,BSD-2-Clause,
@typescript-eslint/typescript-estree@npm:2.15.0,https://yarnpkg.com/package/@typescript-eslint/typescript-estree,BSD-2-Clause,
@yarnpkg/fslib@npm:2.0.0-rc.11,https://yarnpkg.com/package/@yarnpkg/fslib,undefined,
@yarnpkg/fslib@npm:2.0.0-rc.14,https://yarnpkg.com/package/@yarnpkg/fslib,undefined,
@yarnpkg/libzip@npm:2.0.0-rc.5,https://yarnpkg.com/package/@yarnpkg/libzip,undefined,
@yarnpkg/pnpify@npm:2.0.0-rc.14,https://yarnpkg.com/package/@yarnpkg/pnpify,undefined,
abab@npm:2.0.3,https://yarnpkg.com/package/abab,BSD-3-Clause,
abbrev@npm:1.1.1,https://yarnpkg.com/package/abbrev,ISC,
acorn-globals@npm:4.3.4,https://yarnpkg.com/package/acorn-globals,MIT,
acorn-jsx@npm:5.1.0,https://yarnpkg.com/package/acorn-jsx,MIT,
acorn-walk@npm:6.2.0,https://yarnpkg.com/package/acorn-walk,MIT,
acorn@npm:5.7.3,https://yarnpkg.com/package/acorn,MIT,
acorn@npm:6.4.0,https://yarnpkg.com/package/acorn,MIT,
acorn@npm:7.1.0,https://yarnpkg.com/package/acorn,MIT,
ajv@npm:6.10.2,https://yarnpkg.com/package/ajv,MIT,
ansi-escapes@npm:3.2.0,https://yarnpkg.com/package/ansi-escapes,MIT,
ansi-escapes@npm:4.3.0,https://yarnpkg.com/package/ansi-escapes,MIT,
ansi-regex@npm:2.1.1,https://yarnpkg.com/package/ansi-regex,MIT,
ansi-regex@npm:3.0.0,https://yarnpkg.com/package/ansi-regex,MIT,
ansi-regex@npm:4.1.0,https://yarnpkg.com/package/ansi-regex,MIT,
